0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-22,-34,-35,-54,-51,,,-42,-58,-51,-53,-59,-56,-40,-53,-55,-53,-53,-55,-57,-52,-54,-56,-54,-57,-56,-55,-58,-59,-59,-63
-20,-38,-35,-33,-53,,,-42,-55,-60,-51,-58,-51,-50,-53,-53,-54,-53,-56,-58,-56,-56,-56,-52,,-58,-57,-62,-58,,-62
-29,-37,-58,-34,-37,,,-51,-56,-58,-53,-40,-50,-56,-53,,-54,-53,-55,-55,-52,,-57,-54,,-59,-58,-59,-56,,-62
-20,-33,,-32,-53,,,-56,-54,-41,-54,-41,-51,-57,-52,,-56,-44,-53,-42,-53,,-58,-55,,-61,-55,-58,-57,,-61
-25,-39,,-52,-51,,,-58,-57,-59,-54,,-57,-56,-52,,-54,-53,-52,-56,-42,,-57,-52,,-60,-54,-58,-57,,-54
-30,-31,,-53,,,,-56,-54,-58,-53,,-51,-48,-54,,-51,-53,,,-52,,-57,-55,,-60,-59,-66,-56,,-48
-28,-31,,-60,,,,-57,-56,-57,-40,,-57,-55,-53,,-54,-52,,,-55,,-58,-53,,-61,-54,-64,-59,,-62
,-34,,-56,,,,-41,-57,-50,-50,,-51,-54,-52,,-53,-53,,,-54,,-56,-43,,-59,,-66,-57,,-59
,-33,,-33,,,,-54,-56,-59,-53,,-57,-56,-53,,-55,-52,,,-52,,-56,-42,,-60,,-56,-57,,-58
,-32,,-33,,,,,-59,-50,-53,,-58,-54,-54,,-53,-45,,,-54,,-56,,,-58,,-70,-59,,-44
,-43,,,,,,,-56,-50,,,-59,-57,-53,,,-54,,,-54,,-57,,,-57,,,-56,,-54
,-39,,,,,,,-57,-54,,,-43,-58,-56,,,-43,,,-51,,,,,-56,,,-56,,-42
,-34,,,,,,,-58,-58,,,-43,-55,-55,,,-43,,,,,,,,,,,,,-51
,-34,,,,,,,-56,-59,,,,-55,-52,,,,,,,,,,,,,,,,-42
,-33,,,,,,,-56,-51,,,,-59,-54,,,,,,,,,,,,,,,,-61
,-35,,,,,,,-59,-57,,,,-39,,,,,,,,,,,,,,,,,-53
,-35,,,,,,,-57,-58,,,,-54,,,,,,,,,,,,,,,,,-50
,,,,,,,,-57,-53,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-58,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-56,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-51,,,,,,,,,,,,,,,,,,,,,
